Indicator_EN,IndicatorURL,Indicator_AR,Variable_EN - Movement Type,MovementURL,Variable_AR - Movement Type,Geography_EN,Geography_AR,Temporal Ref - Year_EN,Value
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Sharjah,الشارقة,2016,"38,013"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Ras al-Khaimah,رأس الخيمة,2016,"2,855"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Fujairah,الفجيرة,2016,783
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Abu Dhabi,أبو ظبي,2016,"80,438"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Dubai,دبي,2016,"220,632"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Sharjah,الشارقة,2016,"38,126"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Ras al-Khaimah,رأس الخيمة,2016,"2,841"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Fujairah,الفجيرة,2016,591
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Abu Dhabi,أبو ظبي,2017,"74,418"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Dubai,دبي,2017,"217,249"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Sharjah,الشارقة,2017,"39,053"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Ras al-Khaimah,رأس الخيمة,2017,"2,588"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Fujairah,الفجيرة,2017,577
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Abu Dhabi,أبو ظبي,2017,"74,182"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Dubai,دبي,2017,"217,350"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Sharjah,الشارقة,2017,"39,199"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Ras al-Khaimah,رأس الخيمة,2017,"2,538"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Fujairah,الفجيرة,2017,366
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Abu Dhabi,ابوظبي,2018,"66,022"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Dubai,دبي,2018,"216,288"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Sharjah,الشارقة,2018,"40,794"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Ras al-Khaimah,رأس الخيمة,2018,"1,810"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Fujairah,الفجيرة,2018,390
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Arrivals,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052206,قادمة,Total Arrivals,اجمالي القادمة,2018,"325,304"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Abu Dhabi,ابوظبي,2018,"65,957"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Dubai,دبي,2018,"216,355"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Sharjah,الشارقة,2018,"40,817"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Ras al-Khaimah,رأس الخيمة,2018,"1,758"
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Fujairah,الفجيرة,2018,191
Aircrafts Movement,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q3052205,حركـــــــة الطائرات,Departures,https://citygraph.abudhabi.nyu.edu/wiki/Item:Q767956,مغادرة,Total Departures,اجمالي المغادرة,2018,"325,078"
