Position,title,link
19.0,Certificates of Deposit Issued by UAE Central Bank,https://admin.bayanat.ae/Home/DatasetInfo?dID=I1msuYMMOmQe474cbvtw8kvsZCgTv8epF9dZl5Vwl4Y
20.0,Divorce Registered Certificates by Emirate by Nationality by Month,https://admin.bayanat.ae/Home/DatasetInfo?dID=YKrGBu7o82l2E5hdWSu4OBfAP59J73KNOOCBxsKbVp0
21.0,"Registered Accident Injuries by District, Age Group, and Nationality",https://admin.bayanat.ae/Home/DatasetInfo?dID=O-K8wzVqBNR5ZZwE3tZIt1YiN4XXtp8KNAZ1V3Np9Ok
22.0,"Population By Emirates, Nationality and Gender",https://admin.bayanat.ae/Home/DatasetInfo?dID=cUMidm_0A_ah9h36fjXOUIsm6H3IjThBVsv-TvEaZKE
23.0,Number of Health Facilities in Private by Sector,https://admin.bayanat.ae/Home/DatasetInfo?dID=s6mSm7TSSFEYYHsI84LHOu3eCBPPjwJKzCeIFFfmVV4
24.0,Cancer Cases in Men by Primary Site of Cancer - Emirate of Abu Dhabi,https://admin.bayanat.ae/Home/DatasetInfo?dID=MxBG1KMznPDW7oPNCk425L0-aEgpStHYZQpEdHJAuok
25.0,Total yearly of flights per Emirate,https://admin.bayanat.ae/Home/DatasetInfo?dID=9PrU4zvzlxfzMB0_kvfgnIMfQ66ympV6uKdTGL5unts
26.0,Government Finance Statistics (GFS),https://admin.bayanat.ae/Home/DatasetInfo?dID=PFLZEHpSqLqCuAbOsZ8L7rtCiRASfAgPVLxOKjqpxeU
27.0,"Number of new and continuing students at private higher education institutions by specialist, nationality and sex",https://admin.bayanat.ae/Home/DatasetInfo?dID=A5YCPx3QIm-BjwRea7Kzk9CiOCZ5b-ebu0PuDJVvdSA
28.0,Live Births by Emirate,https://admin.bayanat.ae/Home/DatasetInfo?dID=JPLKG5zM0PbvihdzJrsXxvMUZgQ9eG-uRBOjEIqeURg
29.0,Traffic accident injuries by accident type,https://admin.bayanat.ae/Home/DatasetInfo?dID=2R05eeeX9tAwPYJbfQ_rfvRZR_YBO9wSx_3Jt01v6sk
30.0,Consumer Price Index by Emirate,https://admin.bayanat.ae/Home/DatasetInfo?dID=vaqaCYGe3yUnJtIon9LxAuUQ4FwJaNVHO9YUyylJhIA
31.0,Carbon Emissions from Energy Sector,https://admin.bayanat.ae/Home/DatasetInfo?dID=gKud0nTi_KHwJ1z34VZj8rZj0nosyTpr_fZ7o40oqEQ
32.0,Government housing ownership E-Service,https://admin.bayanat.ae/Home/DatasetInfo?dID=Hauo8zQejSKL5Xik61ZERpyAZwEx9ENA4DzS39bzveM
33.0,Gross Domestic Product by Expenditure (Current Prices - Million Dollars),https://admin.bayanat.ae/Home/DatasetInfo?dID=kH_aNa5wvUt4hbOd22WJBdWupg0MP5L_kJFWCY4l9AQ
34.0,Solved complaints in Private sector,https://admin.bayanat.ae/Home/DatasetInfo?dID=LdsUbHwOmGIE1RAcFwdROxKM6mSRtVlOsTM-v8mMAeg
35.0,University Staff Headcounts by Staff Type and Gender,https://admin.bayanat.ae/Home/DatasetInfo?dID=2thv_1AciSGLFiJc_R85_kVl4_yxmn5ZtdMQkGaUxJU
36.0,Mosques By Area And Emirate,https://admin.bayanat.ae/Home/DatasetInfo?dID=MiVBP5hR6oLnrschbg2EIyL5oYhDuoGOYFNsNmXwrM4
37.0,Cultivated Area of Alfalfa (Medicago Sativa) in Al Ain,https://admin.bayanat.ae/Home/DatasetInfo?dID=0c8q1936Ztgs6lEOkIAuY2z1WkHqUpeXjb98B0n-u6s
38.0,Recycled Construction Waste in Federal Roads and Buildings,https://admin.bayanat.ae/Home/DatasetInfo?dID=bKBQn-KtRVPLL9pZGR3xtvchTezYYonU0vpdM5ifCmM
39.0,GROSS DOMESTIC PRODUCT BY ECONOMIC SECTORS and ACTIVITIES (CURRENT PRICES),https://admin.bayanat.ae/Home/DatasetInfo?dID=XP6h7y-PgGC_UuIuY7at243LiXcCZIoF9Jb0oqkn9y8
40.0,"Production, Export, Import of Natural Gas Liquids",https://admin.bayanat.ae/Home/DatasetInfo?dID=Gdr8GnsBhhaqUC6bsZovCXd7PxcIL-ZFDpJmC7zfGpc
41.0,Causers Of Traffic Accidents By Type Of Accident And Emirate,https://admin.bayanat.ae/Home/DatasetInfo?dID=8bgUibmSX8vLCe0qcsgmPvdBvnKaY5CVeDnWRNbCj0A
42.0,Livestock Import,https://admin.bayanat.ae/Home/DatasetInfo?dID=vZWq-YWlTyOkhtR4j1pJ0omLYFSoyi9plefJPym7rMI
43.0,"Citizen Population Estimates by Age Group and Gender, Al Ain Region Urban",https://admin.bayanat.ae/Home/DatasetInfo?dID=o0Rs3B0tuOiGpCdN7S8M-vAASxnObtARG5Xpw2Wxspg
44.0,Environment Statistics in Abu Dhabi,https://admin.bayanat.ae/Home/DatasetInfo?dID=phzVS-1ttHUg-1OUn3ZC4Yr825d-7wakju26xDP1iCs
45.0,"Labor Force Participation Rate by Nationality, Gender and Marital status",https://admin.bayanat.ae/Home/DatasetInfo?dID=ky-n0FnBDIr4mfA1ONtWW17Ls-Zq1zkUtr8PiEF0dVw
46.0,POD card holders by nationality and gender,https://admin.bayanat.ae/Home/DatasetInfo?dID=g6UAcM5yh6ku9mwD3lHd-AAE3LgKmbI3_S1StEu2acY
47.0,"Percentage of Population Participation in Labor Force (15 Years and Over) By Emirates, Nationality and gender",https://admin.bayanat.ae/Home/DatasetInfo?dID=aHuyk9rmjcV_-QdgP1b4QyZmVkF-b73NhhMM5SLvVSU
48.0,Road Traffic Accidents And No. Of Casualties By Emirate,https://admin.bayanat.ae/Home/DatasetInfo?dID=z4SaY59KHjghp70OO_eofkJb1NwTtd92Lw6HFsrOlg8
49.0,Estimaion Of Fish Quantities by emirate and method,https://admin.bayanat.ae/Home/DatasetInfo?dID=mW2RuryUpJZgIJP9Nl8FVspJyl1351WF1HtZP2Aier8
50.0,The Federal Authority for Nuclear Regulation Training and Workshops,https://admin.bayanat.ae/Home/DatasetInfo?dID=GSl1zWbuwkNTJGsb30Y-rd-8TMP5W0BwUAH5S3DwQ4c
51.0,The Federal Authority for Nuclear Regulation Licensing Activities,https://admin.bayanat.ae/Home/DatasetInfo?dID=NAHjDOk38IFZ4esMKUF8-vceuYUOjqZIxeudvNOyL8w
52.0,The Federal Authority for Nuclear Regulation Inspection Activities,https://admin.bayanat.ae/Home/DatasetInfo?dID=k2bn3WIxxDT_0NaIY1XbzTAm-nM9v3pIEtBUqfpgeO8
53.0,The Federal Authority for Nuclear Regulation Capacity Building Activities,https://admin.bayanat.ae/Home/DatasetInfo?dID=2w95wlqel7XkjBU45Z5ncWS5mKBJxh0rQiVu2i1Mqdo
54.0,Quarterly current GDP (production approach),https://admin.bayanat.ae/Home/DatasetInfo?dID=w6isU9sZcxnn-7EpZsOTO8a5hyy0Iczk3Ds3lJSY7mI
55.0,Percentage Distribution of Citizens by Highest Earned Education Level and Gender,https://admin.bayanat.ae/Home/DatasetInfo?dID=0dV0PPETlnx8YA1_vf2wpxcdvJ2mnwsHBZllH2xcAfc
56.0,Percentage Distribution of Estimated Non-Citizens by Highest Earned Education Level and Gender,https://admin.bayanat.ae/Home/DatasetInfo?dID=MRlYkE5WSZ89ZwzlCTSu6j2DwWv7PnjQGRHwhVz5k9c
57.0,Percentage Distribution of Foreign Direct Investment by Economic Activity,https://admin.bayanat.ae/Home/DatasetInfo?dID=4XVNpKUfWYZ-99oAJRWhvxCieqnvlQlvmvritk7BE-0
58.0,Percentage Distribution of Foreign Direct Investment by Region,https://admin.bayanat.ae/Home/DatasetInfo?dID=rBoDlOYJRJJWh1XA1jB5xGNPNgPuWyJo03Bf0LrcgHM
59.0,Percentage Distribution of Government Revenues,https://admin.bayanat.ae/Home/DatasetInfo?dID=ALtTCxIN2Ig8Mrz0VSCpuKhmJnHIeJaoyqXadzylbSQ
60.0,Distribution of Gross Fixed Capital Formation by Economic Activity at Current Prices,https://admin.bayanat.ae/Home/DatasetInfo?dID=DW-_G9xushmxl-ol64Lhc5iheUt-53PZhtwWlQ1-QVE
61.0,Percentage Distribution of Other Investment by Economic Activity,https://admin.bayanat.ae/Home/DatasetInfo?dID=CTnm5WGN29E_RdLh5qAZIHf4IxJ_heLoAhJDaJqTKgA
62.0,Population Density by Region,https://admin.bayanat.ae/Home/DatasetInfo?dID=XAUcsZv7EpYo2zcvI4pKVLJcu3gVW_wvWPsMBykZpMY
63.0,Domestic Sales of Refined Petroleum Products in Abu Dhabi,https://admin.bayanat.ae/Home/DatasetInfo?dID=OOCF4IRnhO95XiDOet_0eJKDAXklIyUIchhO4OrHaqE
64.0,Production of Refined Petroleum Products in Abu Dhabi,https://admin.bayanat.ae/Home/DatasetInfo?dID=EGT2QwVp0M3DbAdr0mvdTLgKNSUgr8p1qK7J7EEpZfY
65.0,Air Temperature by Month and Year in Abu Dhabi Emirate,https://admin.bayanat.ae/Home/DatasetInfo?dID=L0W9Feixc9sBivukhL2XYGq5f2NHRytlA2pMT_7g9EI
66.0,Agriculture Producers Price Indices,https://admin.bayanat.ae/Home/DatasetInfo?dID=ls87ja3HYyn3sJNqER4o-s7QtyHTvwiwt8jO5b-jjek
67.0,"Passengers at All Abu Dhai Airports by Year, Airport, and Status (Arrival, Departure, or Transit)""",https://admin.bayanat.ae/Home/DatasetInfo?dID=ne8OtIEKsx_XybYEBXrygjPgdrztNl0jtwQTXvXBwD4
68.0,"Average Carbon Monoxide Concentration in Ambient Air by Location, Year, and Reading Environment",https://admin.bayanat.ae/Home/DatasetInfo?dID=KaPNIhB0eHoBuM_7cH6Q5MzNx8MSvy0zfLVkS2OzmfQ
69.0,Annual CPI and Inflation Rates,https://admin.bayanat.ae/Home/DatasetInfo?dID=xUnbYa3Qca0X6Z-Ad0v9zlf0ZxInUjr35zscEYnaO_Y
70.0,Annual CPI and relative change by Household Type,https://admin.bayanat.ae/Home/DatasetInfo?dID=67w1J6IuN_WA0H08RzbeXf7QGGhO8FIGd-mivNl0Dn4
71.0,Annual Crude Birth Rate by Citizenship and Year in Abu Dhabi Emirate,https://admin.bayanat.ae/Home/DatasetInfo?dID=S12VuxXVLOUQN9928Qr6tafZNyzYDP3okm7QMnJxopE
72.0,Annual Growth Rate of Gross Fixed Capital Formation by Economic Activity at Current Price 2013-2016,https://admin.bayanat.ae/Home/DatasetInfo?dID=MAHx6qEiR81s44NajFRl-EddV1DeVHFpR1FNq0NTHzE
73.0,Annual Growth Rates of the Gross Domestic Product by Economic Activity at 2007 Prices 2013-2016,https://admin.bayanat.ae/Home/DatasetInfo?dID=mF9G7xkPFHXUAAfvhVXznL5Y1ByPFl212ZuiiiGOuc0
74.0,Area of the United Arab Emirates (Excluding Islands),https://admin.bayanat.ae/Home/DatasetInfo?dID=uHPCLA513pCqKGYyJbm8WAz-WsUtJNhN-YWtk75c28I
75.0,Average Annual Growth Rates in Labour Force in Intercensal Periods by Citizenship and Gender,https://admin.bayanat.ae/Home/DatasetInfo?dID=5L03EpPGjgNN2U45_Brenv6EVedc7qMUhaT9TEvdRS4
76.0,"Average Annual Population Growth Rates by Citizenship and Gender, Intercensal Periods (%)",https://admin.bayanat.ae/Home/DatasetInfo?dID=C6NNaIKqxVufujff43Q4-NK733OJTOVWzYAQPShjfHA
77.0,"Average Annual Population Growth Rates by Citizenship and Gender, Mid-year 2010 to 2016",https://admin.bayanat.ae/Home/DatasetInfo?dID=GywtWcx2HEcgDoqYX7GiUeN6aXrcG_801hQ3-0qLxlc
78.0,Average Atmospheric Pressure by Month and Region in Abu Dhabi Emirate,https://admin.bayanat.ae/Home/DatasetInfo?dID=ll7Et0bfK-7cMcsQZ9fvemd9uH32u8Qa9tPrc9wZs_0
79.0,Average Daily Solar Radiation in Abu Dhabi Emirate by Month and Region,https://admin.bayanat.ae/Home/DatasetInfo?dID=Xq4CAe3rCnX3eAjJB_OxWwaLjFdfpmur52Mlzx56Nos
80.0,Average Daily Sunshine in Abu Dhabi Emirate by Month and Year,https://admin.bayanat.ae/Home/DatasetInfo?dID=SGmxuNXujCPwPJLjNhVBNcVn_uV8yac72HGxgeaId6A
81.0,Average Length of Stay for Abu Dhabi Hotel Establishments by Guest Nationality and Year,https://admin.bayanat.ae/Home/DatasetInfo?dID=xHaAnUL4hSE0nnHQk5wgafhvB1U196LiaN7ElZ0IgMA
82.0,"Average Nitrogen Dioxide Concentration in Ambient Air by Location, Year, and Reading Environment",https://admin.bayanat.ae/Home/DatasetInfo?dID=gPgfv5Sk82lEm0PpFoOkklebGsLT1YjynFRnD_RQXLU
83.0,Average Particulate Matter (PM10) Concentration in Ambient Air,https://admin.bayanat.ae/Home/DatasetInfo?dID=11hPm3xg1ZVlZaoE-B-qkUl6SwF5GDXoGzbSeO3kygU
84.0,"Average Relative Humidity in Abu Dhabi Emirate by Month, Region, and Year",https://admin.bayanat.ae/Home/DatasetInfo?dID=5igSvTMJFStCop2kIvWPTTPi_5hkib3a9tvsL7SZwHw
85.0,"Average Sulphur Dioxide Concentration in Ambient Air by Location, Year, and Reading Environment",https://admin.bayanat.ae/Home/DatasetInfo?dID=acEd0A3tXsrhcxI_JWmRCcIsdjmUZN9DYb8EXNfdCdo
86.0,"Average Wind Speed in Abu Dhabi Emirate by Month, Year, and Region",https://admin.bayanat.ae/Home/DatasetInfo?dID=KWA6Ydi_PyeXLJVJTvnu4btsp9XoXJDL2mJIgvN8XDc
87.0,"Banks Statistics for Abu Dhabi Based Banks, 2016",https://admin.bayanat.ae/Home/DatasetInfo?dID=Vc8VxC4vMUjGmI4G7uI39yFvjATYEZ53FwH9-d-ufR0
88.0,"Citizen Population Estimates by Age Group and Gender, Abu Dhabi Region Rural",https://admin.bayanat.ae/Home/DatasetInfo?dID=zuP0fuMqstpilECnwwP2snFPciKSmdI8lAO32UZKqjs
89.0,"Citizen Population Estimates by Age Group and Gender, Al Ain Region Rural",https://admin.bayanat.ae/Home/DatasetInfo?dID=7L03C-24E-XesXe-1lsTU8mpSBfL8_7cA3FYiXBTamk
90.0,Components of Foreign Trade in Goods as Percentage of Total Trade in Goods through Abu Dhabi Ports,https://admin.bayanat.ae/Home/DatasetInfo?dID=K6q7BsvrxafUGgqHDKBncT9dWAA49Z-LOOWsHe87EOo
91.0,"Citizen Population Estimates by Age Group and Gender, Al Dhafra Region",https://admin.bayanat.ae/Home/DatasetInfo?dID=OgWSK6ANiHJTOSMWuA8-5HhCTiz2VXspVVQfLQ8sYhs
92.0,Distribution of Population (10 Years and Over) by Highest Earned Education Level and Gender,https://admin.bayanat.ae/Home/DatasetInfo?dID=8gRNBw470ByRCfbWTU5wFeCoqo_c8JoWOH0I6n5HAA4
93.0,Distribution of the Gross Domestic Product by Economic Activity at Current Prices,https://admin.bayanat.ae/Home/DatasetInfo?dID=mLsktMI31hNwXxFTN4tt90NapEmvHAXas5IKyQjddk0
94.0,"Illiteracy Rate Among Population (10 Years and Over) by Year, Citizenship, and Gender for Abu Dhabi Emirate",https://admin.bayanat.ae/Home/DatasetInfo?dID=_DE9kSq7U3fK01WRdFXVGOefTSL_HsSpsgc9aEl-grc
95.0,Mail and Postal Service Statistics in Abu Dhabi Emirate by Year,https://admin.bayanat.ae/Home/DatasetInfo?dID=byhWBU3bzWZ3uPnVhuX4BSYS2K-_2cmL-fe7zPuVzh8
96.0,"Percent of Progression to Secondary School by Gender, Abu Dhabi",https://admin.bayanat.ae/Home/DatasetInfo?dID=FaciS__Pyo4hhenBT0c3X2Iv0TBkgXp5U-ysUheEQcE
97.0,Percentage Distribution of the GDP by Economic Activity at 2007 Constant Prices,https://admin.bayanat.ae/Home/DatasetInfo?dID=FM6_3sOtBZuAPkVSpaxkzinAP5L2rjbLnRXuob2fCo8
98.0,Percentage Distribution Of The Number Of Productive Greenhouse By Region,https://admin.bayanat.ae/Home/DatasetInfo?dID=gEOtgIdZnBBOegiUEYQ6DbR4trYTW1_g0y258aY96CA
99.0,Percentage of the Electricity Consumption by Region and Sector,https://admin.bayanat.ae/Home/DatasetInfo?dID=P33RYv_kR-9Qo79AE8OtTfyz4Lh6c55Ys2lskSCnhAM
100.0,Fuel Consumption of the Electricity and Water Activity (Billion BTU),https://admin.bayanat.ae/Home/DatasetInfo?dID=vYVVk7LXDlnalFIDN6rls9OeGaXFOmFjaoXCZDFnwRM
101.0,Value of Foreign Trade in Goods through the Ports of Abu Dhabi by Trade Good,https://admin.bayanat.ae/Home/DatasetInfo?dID=rxqCjW4ZmjBzxePkCh1SrQarxkVkwws57FKLBwAo9bo
102.0,Pupils in Government and Private Schools by Educational Stage and Gender for Abu Dhabi Emirate,https://admin.bayanat.ae/Home/DatasetInfo?dID=8R1THCdYRDkkSCbFGyXXP36IDQC9AiD1bwOwQzdsw10
103.0,"Pupils in Literacy Centres and Adult Education by Region, Citizenship, Gender, Stage in Abu Dhabi",https://admin.bayanat.ae/Home/DatasetInfo?dID=Rcny7co1hXYR-WhaMlSjVo-0xNTf401NrgB0Jo1ciiY
104.0,Pupils per Classroom by Region and Academic Level in Private Education for Abu Dhabi Emirate,https://admin.bayanat.ae/Home/DatasetInfo?dID=5XeAUTLqdb_XBHGTrDYkrAS6qP6Qwa-65SBHoyjtjAY
105.0,"Pupils, Teachers, and Administrators by Region, Gender, and Education Sector in Abu Dhabi Emirate",https://admin.bayanat.ae/Home/DatasetInfo?dID=onN1u9RSJLGBtpdEifgvVU9UtdQ8A6kug7VNk5BG4pg
106.0,Quantity and Value of Agricultural Products Supplied to the Agriculture Marketing Centre in Abu Dhab,https://admin.bayanat.ae/Home/DatasetInfo?dID=1KnxOMFo182XrmoCWyHAQ6yDBpPfC5RaQYDROC50vQ0
107.0,"Quantity and Value of Imports, Exports and Re-Exports of Agricultural Fertilizers in Abu Dhabi",https://admin.bayanat.ae/Home/DatasetInfo?dID=EeFw4Af2lHCXdvQ6_ziW7yUlgFQHCutKjNWzUliZBfQ
108.0,"Quantity of Cultivated Area, Average Yield, and Production of Vegetables by Vegetable in Abu Dhabi",https://admin.bayanat.ae/Home/DatasetInfo?dID=hpHxerHgPPF2gxFnsKU4ALmNyvO8WxF9VfliqsZBdl4
109.0,Quantity of Dates Produced by Region for Abu Dhabi Emirate,https://admin.bayanat.ae/Home/DatasetInfo?dID=5mWzbkYcPZSUQgcw6XF-I-d2eKyup7u0wD-nsEW-of8
110.0,Value of Meat Produced From Slaughter by Type in Abu Dhabi Emirate,https://admin.bayanat.ae/Home/DatasetInfo?dID=0rOBS_LJudF8lNiRovQslm-QFpIHDJYUASCnLfVyawk
111.0,Quantity of Pesticides Used by Region in Abu Dhabi Emirate,https://admin.bayanat.ae/Home/DatasetInfo?dID=SOhdNfAzMbdFfod8Syg6eC43yY2Z9HzKljWntD3fleg
112.0,Quantity of Production from Commercial Farms by Product for Abu Dhabi,https://admin.bayanat.ae/Home/DatasetInfo?dID=yDFJuZb3pY7BFrGIJtF3gmSYtucRzT4OFPcOYGtPuxo
113.0,Rainfall in Abu Dhabi Regions by Month and Region,https://admin.bayanat.ae/Home/DatasetInfo?dID=WNazGd-A4bc1IBQKUY__k-l0eSdOMepgQqlKJ4wS1do
114.0,Quantity of Production in Field Crops by Region in Abu Dhabi,https://admin.bayanat.ae/Home/DatasetInfo?dID=JrswTx5doxunBZr84HvzQKa5lDNUY5Txaz3d2HxZ5Ec
115.0,Ratio of Citizen Pupils to Non-Citizen Pupils by Region and Sector in Abu Dhabi Emirate,https://admin.bayanat.ae/Home/DatasetInfo?dID=JGfkll-vdep6ZJaLvZXyMBFHIQlY-UQsy9u2rjLWbgw
116.0,Ratio of Non-Oil Exports to Imports of Goods by Sections of Harmonized System for Abu Dhabi,https://admin.bayanat.ae/Home/DatasetInfo?dID=ddjYeJZd4YnGAPoxG9lDrjzimHZNRvDrcxozQBo4m9w
117.0,Relative Change in the Price Averages of the Main Groups of Building Materials for Abu Dhabi,https://admin.bayanat.ae/Home/DatasetInfo?dID=4XIW5L16mbPHmySIjOVZe6J-2X_K57_arxkaeIVpH_Q
118.0,Relative Change in the Prices of the Main Expenditure Groups for Abu Dhabi,https://admin.bayanat.ae/Home/DatasetInfo?dID=BkhPqMNf8HKjFijDgbAQa7DyCWjwaXajIZM0ddM7Obw
119.0,"Hotel Establishment Indicators by Region for Abu Dhabi, Al Ain, and Al Dhafra",https://admin.bayanat.ae/Home/DatasetInfo?dID=tZWCRJWwuIxs3g7oawBO8FjMgGj49Gc7Q3zHd1XfRTU
120.0,Revenue of Hotel Establishments in Abu Dhabi by Year and Revenue Source,https://admin.bayanat.ae/Home/DatasetInfo?dID=fxIN6y7M1WYMt9sGOsrirYVLR3b_3wwq1S2Pm3Tdatc
121.0,Gross Fixed Capital Formation by Economic Activity as a Percentage of the GDP at Current Prices for Abu Dhabi,https://admin.bayanat.ae/Home/DatasetInfo?dID=vt1pWfJjwl7mqUq1wqODyj4BsrN1x-guwr3VTL8c_Q4
122.0,"Stock of Foreign Direct Investments by Economic Activity as Percentage of GDP Current Prices, Abu Dhabi",https://admin.bayanat.ae/Home/DatasetInfo?dID=Rd1IXWGJupSR-q649PRVSLwUBFoHWtAFxPtsrHnqAek
123.0,Tariff of Telecommunications Services by Year and Type for Abu Dhabi Emirate,https://admin.bayanat.ae/Home/DatasetInfo?dID=93hw5VomaZaS8TUb3BZLc_R7r5lzHutWRoaUNCUXgF8
124.0,Total Fertility Rate by Citizenship and Region for Abu Dhabi Emirate,https://admin.bayanat.ae/Home/DatasetInfo?dID=uArAfIRw7Rt73NTDdMxX-H-09QdqJ8PC9LtCpzQbALs
125.0,Trade Balance of Non-Oil Trade in Goods through Abu Dhabi Ports by HS Section at Current Prices,https://admin.bayanat.ae/Home/DatasetInfo?dID=wP1i0VXP7zDJDLzzdVomKOoHMhmpoERvMt25jxZ-2zk
126.0,Value of Dates Produced by Region and Year in Abu Dhabi Emirate,https://admin.bayanat.ae/Home/DatasetInfo?dID=3f8Cd2qFog6NK-IlTeE4ALcfeNpQyg5wuPu1C3j1nHo
127.0,Value of Exports of Agricultural Goods and Food by Type for Abu Dhabi Emirate,https://admin.bayanat.ae/Home/DatasetInfo?dID=x3IVdlevvjizSo42ouJhVE4Kdr1ZzJxo4_F-uqA9888
128.0,Value of Field Crops by Region and Year for Abu Dhabi,https://admin.bayanat.ae/Home/DatasetInfo?dID=fMFd28vCqf8IT82MVT2ZE4M777F7BiBIvx8RVZI_AHM
129.0,Value of Imports of Agricultural Goods and Food by Type for Abu Dhabi Emirate,https://admin.bayanat.ae/Home/DatasetInfo?dID=6kG54ISFiBh2AbHQ9eWkT81_Oq2DNq8Az7h3JhFeI_8
130.0,Value of Re-Exports of Agricultural Goods and Food by Type for Abu Dhabi Emirate,https://admin.bayanat.ae/Home/DatasetInfo?dID=AXqiE4O4jsy-Thg-QzAPGxPOy7CNvbrUSWiHjOX7GV0
131.0,Value of Re-exports by Utilization of Items of the Emirate of Abu Dhabi,https://admin.bayanat.ae/Home/DatasetInfo?dID=MLHPekKRzHbemeOpuc1DkI9aRaCqxa6Dnt2O6kNnek8
132.0,Value of Re-exports through the Ports of Abu Dhabi Emirate by Sections of the Harmonized System,https://admin.bayanat.ae/Home/DatasetInfo?dID=DrwOkmGV2OXN6uEJyLBfaOxee0mevkaKyI3-MGNCtz8
133.0,"Number of Pupils per Teacher by Region, Academic Level, and Gender in Government Education",https://admin.bayanat.ae/Home/DatasetInfo?dID=d_2a_b6wLrPnU3HOLlWMb9TpFpAUPxLEDZNc0hUS5Xg
134.0,Occupancy Rate of Abu Dhabi Hotel Establishments by Month,https://admin.bayanat.ae/Home/DatasetInfo?dID=DWWRyxVhqj9gMANLkNTx_fFhkYdINkZIS4-9DwftWEE
135.0,People of Determination in Government Education by Disability Type and Region,https://admin.bayanat.ae/Home/DatasetInfo?dID=Ih_AycPAWcjKIahOM_t9RB1bRqdxbCCyZGTgunNn1vc
136.0,Natural Gas Production (Million cubic feet),https://admin.bayanat.ae/Home/DatasetInfo?dID=tzoocBQoOiyRx3X6K68Muifu8xQuBNSQcBTJfJDh11E
137.0,Air Cargo Loaded at Abu Dhabi Airports by Region and Year,https://admin.bayanat.ae/Home/DatasetInfo?dID=U46W-dINMNQHzb3IezoOtz1-KZDRmHkBn-VRk49MXt0
138.0,Air Cargo Discharged at Abu Dhabi Airports by Region and Year,https://admin.bayanat.ae/Home/DatasetInfo?dID=fIannBgT6AJv_id_a2-2r41eDPlXjkdouAuDDH02ogo
